6.621469,23.708193,5.475979
6.687611,23.943089,5.533812
6.754427,24.180254,5.592860
6.821924,24.419707,5.653146
6.890107,24.661470,5.714698
6.958986,24.905564,5.777541
7.028567,25.152010,5.841701
7.098858,25.400829,5.907206
7.169865,25.652043,5.974084
7.241598,25.905673,6.042362
7.314062,26.161742,6.112071
7.387267,26.420270,6.183240
7.461219,26.681281,6.255898
7.535928,26.944796,6.330077
7.611400,27.210838,6.405809
7.687644,27.479429,6.483125
7.764669,27.750592,6.562059
7.842482,28.024350,6.642644
7.921093,28.300724,6.724915
8.000509,28.579739,6.808907
8.080739,28.861417,6.894656
8.161793,29.145782,6.982198
8.243678,29.432857,7.071572
8.326405,29.722664,7.162814
8.409981,30.015229,7.255966
8.494417,30.310575,7.351065
8.579721,30.608724,7.448155
8.665904,30.909702,7.547275
8.752974,31.213533,7.648470
8.840942,31.520239,7.751783
8.929817,31.829846,7.857258
9.019609,32.142378,7.964941
9.110328,32.457858,8.074879
9.201985,32.776313,8.187119
9.294590,33.097765,8.301711
9.388154,33.422240,8.418704
9.482686,33.749762,8.538149
9.578199,34.080356,8.660099
9.674702,34.414046,8.784606
9.772208,34.750859,8.911726
9.870726,35.090817,9.041514
9.970270,35.433947,9.174028
10.070849,35.780273,9.309325
10.172477,36.129820,9.447466
10.275164,36.482613,9.588511
10.378923,36.838676,9.732523
10.483767,37.198036,9.879567
10.589707,37.560717,10.029707
10.696757,37.926743,10.183011
10.804928,38.296140,10.339547
10.914235,38.668932,10.499385
11.024690,39.045144,10.662598
11.136306,39.424801,10.829259
11.249098,39.807928,10.999443
11.363079,40.194549,11.173228
11.478263,40.584688,11.350692
11.594665,40.978370,11.531916
11.712298,41.375618,11.716983
11.831178,41.776458,11.905978
11.951319,42.180912,12.098988
12.072737,42.589005,12.296102
12.195447,43.000759,12.497411
12.319465,43.416199,12.703009
12.444807,43.835346,12.912991
12.571488,44.258225,13.127456
12.699527,44.684856,13.346504
12.828938,45.115263,13.570239
12.959740,45.549467,13.798766
13.091949,45.987490,14.032195
13.225584,46.429352,14.270636
13.360663,46.875074,14.514204
13.497203,47.324677,14.763015
13.635224,47.778181,15.017191
13.774744,48.235603,15.276854
13.915784,48.696964,15.542131
14.058362,49.162281,15.813152
14.202499,49.631571,16.090052
14.348216,50.104852,16.372966
14.495534,50.582140,16.662036
14.644473,51.063450,16.957407
14.795056,51.548796,17.259227
14.947305,52.038192,17.567649
15.101244,52.531652,17.882831
15.256894,53.029187,18.204934
15.414280,53.530808,18.534124
15.573427,54.036525,18.870572
15.734359,54.546346,19.214455
15.897101,55.060280,19.565953
16.061681,55.578332,19.925252
16.228123,56.100507,20.292546
16.396456,56.626809,20.668031
16.566708,57.157240,21.051912
16.738907,57.691800,21.444399
16.913082,58.230488,21.845708
17.089264,58.773301,22.256062
17.267484,59.320233,22.675693
17.447774,59.871278,23.104839
17.630165,60.426426,23.543744
17.814692,60.985665,23.992663
18.001390,61.548983,24.451858
18.190293,62.116363,24.921600
18.381438,62.687784,25.402170
18.574863,63.263226,25.893858
18.770607,63.842663,26.396965
18.968710,64.426067,26.911800
19.169213,65.013405,27.438687
19.372159,65.604643,27.977961
19.577591,66.199741,28.529967
19.785557,66.798655,29.095067
19.996103,67.401338,29.673633
20.209277,68.007735,30.266055
20.425132,68.617791,30.872736
20.643720,69.231441,31.494099
20.865095,69.848616,32.130580
21.089315,70.469241,32.782638
21.316439,71.093235,33.450748
21.546529,71.720508,34.135408
21.779650,72.350965,34.837140
22.015869,72.984501,35.556487
22.255258,73.621002,36.294019
22.497889,74.260346,37.050335
22.743841,74.902401,37.826061
22.993196,75.547022,38.621857
23.246039,76.194054,39.438418
23.502460,76.843329,40.276474
23.762556,77.494664,41.136797
24.026427,78.147863,42.020201
24.294181,78.802712,42.927551
24.565931,79.458979,43.859762
24.841797,80.116414,44.817805
25.121910,80.774744,45.802715
25.406406,81.433673,46.815598
